0.0,397
0.01,398
0.02,398
0.03,397
0.04,398
0.05,398
0.06,398
0.07,398
0.08,398
0.09,398
0.1,398
0.11,398
0.12,397
0.13,398
0.14,398
0.15,398
0.16,398
0.17,398
0.18,398
0.19,398
0.2,397
0.21,398
0.22,398
0.23,397
0.24,394
0.25,393
0.26,395
0.27,393
0.28,389
0.29,388
0.3,390
0.31,389
0.32,386
0.33,384
0.34,386
0.35,385
0.36,383
0.37,380
0.38,382
0.39,381
0.4,381
0.41,381
0.42,381
0.43,381
0.44,378
0.45,377
0.46,378
0.47,378
0.48,374
0.49,373
0.5,374
0.51,374
0.52,371
0.53,369
0.54,369
0.55,370
0.56,367
0.57,365
0.58,366
0.59,366
0.6,363
0.61,361
0.62,362
0.63,362
0.64,360
0.65,357
0.66,358
0.67,358
0.68,356
0.69,353
0.7,354
0.71,354
0.72,351
0.73,349
0.74,350
0.75,350
0.76,349
0.77,346
0.78,346
0.79,347
0.8,345
0.81,342
0.82,342
0.83,343
0.84,341
0.85,338
0.86,338
0.87,338
0.88,337
0.89,335
0.9,334
0.91,336
0.92,334
0.93,331
0.94,330
0.95,332
0.96,330
0.97,327
0.98,326
0.99,327
1.0,325
1.01,320
1.02,317
1.03,319
1.04,319
1.05,315
1.06,314
1.07,315
1.08,315
1.09,312
1.1,310
1.11,312
1.12,311
1.13,308
1.14,307
1.15,307
1.16,307
1.17,305
1.18,303
1.19,304
1.2,304
1.21,303
1.22,303
1.23,304
1.24,304
1.25,303
1.26,303
1.27,304
1.28,304
1.29,303
1.3,303
1.31,304
1.32,304
1.33,303
1.34,303
1.35,304
1.36,304
1.37,303
1.38,303
1.39,304
1.4,304
1.41,303
1.42,303
1.43,304
1.44,304
1.45,303
1.46,303
1.47,304
1.48,304
1.49,303
1.5,303
0.0,303
0.01,304
0.02,304
0.03,304
0.04,303
0.05,303
0.06,304
0.07,304
0.08,303
0.09,303
0.1,304
0.11,304
0.12,303
0.13,303
0.14,304
0.15,304
0.16,303
0.17,303
0.18,304
0.19,304
0.2,304
0.21,306
0.22,308
0.23,307
0.24,308
0.25,310
0.26,311
0.27,311
0.28,312
0.29,317
0.3,320
0.31,319
0.32,319
0.33,321
0.34,322
0.35,322
0.36,322
0.37,324
0.38,326
0.39,326
0.4,326
0.41,329
0.42,331
0.43,331
0.44,331
0.45,333
0.46,335
0.47,335
0.48,335
0.49,336
0.5,338
0.51,339
0.52,338
0.53,340
0.54,343
0.55,343
0.56,343
0.57,346
0.58,350
0.59,350
0.6,350
0.61,350
0.62,350
0.63,350
0.64,351
0.65,351
0.66,354
0.67,354
0.68,354
0.69,355
0.7,357
0.71,358
0.72,358
0.73,359
0.74,362
0.75,362
0.76,362
0.77,363
0.78,365
0.79,366
0.8,366
0.81,367
0.82,369
0.83,370
0.84,370
0.85,370
0.86,373
0.87,374
0.88,374
0.89,374
0.9,376
0.91,377
0.92,378
0.93,378
0.94,380
0.95,382
0.96,382
0.97,382
0.98,384
0.99,386
1.0,386
1.01,386
1.02,388
1.03,390
1.04,389
1.05,389
1.06,389
1.07,389
1.08,390
1.09,390
1.1,392
1.11,395
1.12,394
1.13,394
1.14,396
1.15,398
1.16,398
1.17,398
1.18,397
1.19,398
1.2,398
1.21,398
1.22,397
1.23,398
1.24,398
1.25,398
1.26,398
1.27,398
1.28,398
1.29,398
1.3,398
1.31,398
1.32,398
1.33,398
1.34,398
1.35,398
1.36,399
1.37,398
1.38,398
1.39,398
1.4,399
1.41,398
1.42,398
1.43,398
1.44,398
1.45,399
1.46,398
1.47,398
1.48,399
1.49,398
1.5,398
