0.0,398
0.01,398
0.02,398
0.03,398
0.04,398
0.05,398
0.06,398
0.07,398
0.08,398
0.09,398
0.1,398
0.11,398
0.12,398
0.13,398
0.14,398
0.15,398
0.16,398
0.17,398
0.18,398
0.19,398
0.2,398
0.21,398
0.22,398
0.23,397
0.24,394
0.25,393
0.26,394
0.27,392
0.28,389
0.29,389
0.3,390
0.31,388
0.32,385
0.33,385
0.34,386
0.35,384
0.36,381
0.37,381
0.38,382
0.39,381
0.4,381
0.41,381
0.42,381
0.43,381
0.44,378
0.45,376
0.46,378
0.47,377
0.48,374
0.49,373
0.5,374
0.51,373
0.52,370
0.53,369
0.54,370
0.55,369
0.56,367
0.57,365
0.58,366
0.59,366
0.6,363
0.61,361
0.62,362
0.63,362
0.64,359
0.65,357
0.66,358
0.67,358
0.68,355
0.69,353
0.7,354
0.71,354
0.72,351
0.73,348
0.74,350
0.75,350
0.76,348
0.77,345
0.78,346
0.79,346
0.8,344
0.81,341
0.82,342
0.83,342
0.84,340
0.85,337
0.86,338
0.87,339
0.88,337
0.89,334
0.9,334
0.91,335
0.92,333
0.93,330
0.94,330
0.95,331
0.96,329
0.97,326
0.98,325
0.99,327
1.0,325
1.01,322
1.02,321
1.03,322
1.04,320
1.05,315
1.06,313
1.07,315
1.08,314
1.09,310
1.1,310
1.11,311
1.12,310
1.13,307
1.14,305
1.15,307
1.16,306
1.17,303
1.18,302
1.19,303
1.2,302
